#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2021-09-02 10:55:57 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 06752280 CACHE LA POUDRE RIV AB BOXELDER CRK NR TIMNATH, CO
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
USGS	06752280	96	1986-10-18 09:30:00	MDT	Yes	GMC	USGS	2.58	4.94	Fair	0.00	1.50	Clear	NONE
USGS	06752280	97	1986-11-29 10:15:00	MST	Yes	GMC	USGS	2.65	11.0	Good	0.00	1.50	Clear	NONE
USGS	06752280	98	1986-12-21 09:30:00	MST	Yes	GMC	USGS	2.64	11.6	Good	0.00	2.00	Clear	NONE
USGS	06752280	99	1987-01-22 13:50:00	MST	Yes	GMC	USGS	2.68	11.6	Good	0.00	0.40	IceCover	NONE
USGS	06752280	100	1987-02-28 11:00:00	MST	Yes	GMC	USGS	2.64	14.1	Good	0.00	0.40	Clear	NONE
USGS	06752280	101	1987-03-19 08:45:00	MST	Yes	GMC	USGS	2.65	17.2	Good	0.00	0.50	Clear	NONE
USGS	06752280	102	1987-04-15 14:00:00	MDT	Yes	GMC	USGS	2.60	11.6	Good			Clear	NONE
USGS	06752280	103	1987-05-18 09:00:00	MDT	Yes	GMC	USGS	3.70	401	Good	0.06	0.50	Clear	NONE
USGS	06752280	104	1987-06-18 09:45:00	MDT	Yes	GMC	USGS	2.66	18.6	Good	0.00	0.50	Clear	NONE
USGS	06752280	105	1987-07-12 14:30:00	MDT	Yes	GMC	USGS	2.54	8.82	Good	0.00	0.50	Clear	NONE
USGS	06752280	106	1987-08-13 12:00:00	MDT	Yes	GMC	USGS	2.51	5.12	Fair	0.00	1.50	Clear	NONE
USGS	06752280	107	1987-09-25 08:45:00	MDT	Yes	GMC	USGS	2.58	4.87	Good	0.00	0.50	Clear	NONE
USGS	06752280	108	1987-10-26 16:10:00	MST	Yes	gmc	USGS	2.56	4.83	Good	0.00	0.40	Clear	NONE
USGS	06752280	109	1987-11-29 10:35:00	MST	Yes	GMC	USGS	2.60	5.64	Good	0.00	0.40	Clear	NONE
USGS	06752280	110	1987-12-23 08:40:00	MST	Yes	gmc	USGS	2.57	5.38	Good	0.00	0.30	Clear	NONE
USGS	06752280	111	1988-01-27 10:10:00	MST	Yes	JWG	USGS		4.59	Poor			IceCover	NONE
USGS	06752280	112	1988-02-25 08:40:00	MST	Yes	JWG	USGS		7.32	Poor			IceCover	NONE
USGS	06752280	113	1988-03-23 08:40:00	MST	Yes	JWG	USGS	2.58	10.3	Poor	0.00	0.30	Clear	NONE
USGS	06752280	114	1988-04-20 09:00:00	MDT	Yes	JWG	USGS	2.56	5.65	Poor	0.00	0.40	DebrisLight	NONE
USGS	06752280	115	1988-05-16 13:40:00	MDT	Yes	JWG	USGS	3.02	94.2	Poor	0.05	0.40	Clear	NONE
USGS	06752280	116	1988-06-20 14:10:00	MDT	Yes	JWG	USGS	3.28	209	Poor	-0.02	0.40	Clear	NONE
USGS	06752280	117	1988-07-11 11:00:00	MDT	Yes	JWG	USGS	2.42	3.51	Poor	0.00	0.30	Clear	NONE
USGS	06752280	118	1988-08-10 10:20:00	MDT	Yes	JWG	USGS	2.42	2.78	Poor	0.00	0.30	DebrisModerate	NONE
USGS	06752280	119	1988-09-08 13:30:00	MDT	Yes	JWG	USGS	2.48	4.34	Poor	0.00	0.50	DebrisLight	NONE
USGS	06752280	120	1988-10-04 13:35:00	MDT	Yes	JWG	USGS	2.56	2.93	Poor	0.00	0.30	DebrisModerate	NONE
USGS	06752280	121	1988-11-04 09:30:00	MST	Yes	JWG	USGS	2.68	4.58	Poor	0.00	0.50	DebrisHeavy	NONE
USGS	06752280	122	1988-12-08 08:35:00	MST	Yes	JWG	USGS	2.58	7.09	Poor			IceCover	NONE
USGS	06752280	123	1989-01-12 09:15:00	MST	Yes	JWG	USGS	2.49	5.27	Poor			IceCover	NONE
USGS	06752280	124	1989-02-14 14:55:00	MST	Yes	JWG	USGS	2.56	7.70	Poor			IceCover	NONE
USGS	06752280	125	1989-03-22 08:45:00	MST	Yes	JWG	USGS	2.54	9.09	Poor	0.00	0.80	Clear	NONE
USGS	06752280	126	1989-04-12 12:30:00	MDT	Yes	JWG	USGS	2.55	8.16	Poor	0.00	0.60	Clear	NONE
USGS	06752280	127	1989-05-11 13:10:00	MDT	Yes	JWG	USGS	2.48	5.96	Poor	0.00	0.60	Clear	NONE
USGS	06752280	128	1989-06-07 13:10:00	MDT	Yes	JWG	USGS	2.73	31.9	Poor	0.03	0.80	Clear	NONE
USGS	06752280	129	1989-07-13 11:15:00	MDT	Yes	JWG	USGS	2.48	6.33	Poor	0.00	0.50	Clear	NONE
USGS	06752280	130	1989-08-25 09:40:00	MDT	Yes	JWG	USGS	2.46	5.25	Poor	0.00	0.50	DebrisLight	NONE
USGS	06752280	131	1989-09-15 10:50:00	MDT	Yes	JWG	USGS	2.46	5.47	Poor	0.00	0.60	DebrisLight	NONE
USGS	06752280	132	1989-10-05 10:45:00	MDT	Yes	JWG	USGS	2.50	4.34	Poor	0.00	0.50	DebrisModerate	NONE
USGS	06752280	133	1989-11-09 10:35:00	MST	Yes	JWG	USGS	2.54	5.53	Poor	0.00	0.50	DebrisModerate	NONE
USGS	06752280	134	1989-12-21 11:30:00	MST	Yes	JWG	USGS		4.48	Poor			IceCover	NONE
USGS	06752280	135	1990-02-08 11:00:00	MST	Yes	JWG	USGS		4.52	Poor	0.02	0.50	IceCover	NONE
USGS	06752280	136	1990-03-15 12:55:00	MST	Yes	JWG	USGS	2.52	8.67	Poor	0.00	0.50	DebrisLight	NONE
USGS	06752280	137	1990-04-19 12:10:00	MDT	Yes	JWG	USGS	3.73	410	Poor	0.04	1.20	Clear	NONE
USGS	06752280	138	1990-05-23 10:50:00	MDT	Yes	JWG	USGS	2.50	4.97	Poor	0.00	0.70	Clear	NONE
USGS	06752280	139	1990-06-13 10:05:00	MDT	Yes	JWG	USGS	4.86	1170	Good	0.00	1.40	Clear	NONE
USGS	06752280	140	1990-07-11 11:25:00	MDT	Yes	JWG	USGS	2.50	6.24	Fair	-0.01	0.40	Clear	NONE
USGS	06752280	141	1990-07-17 11:15:00	MDT	Yes	JWG	USGS	2.46	4.70	Fair	0.00	0.50	Clear	NONE
USGS	06752280	142	1990-08-28 12:05:00	MDT	Yes	JWG	USGS	2.45	3.11	Fair	0.00	0.40	Clear	NONE
USGS	06752280	143	1990-09-12 12:45:00	MDT	Yes	JWG	USGS	2.46	3.40	Fair	0.00	0.50	Clear	NONE
USGS	06752280	144	1990-09-25 12:55:00	MDT	Yes	JWG	USGS	2.47	4.39	Poor	0.00	0.40	Clear	NONE
USGS	06752280	145	1990-09-25 14:00:00	MDT	Yes	JWG	USGS	2.47	4.49	Poor	0.00	0.50	Clear	NONE
USGS	06752280	146	1990-11-02 08:05:00	MST	Yes	JWG	USGS	2.53	3.52	Poor	0.00	0.50	DebrisLight	NONE
USGS	06752280	147	1990-11-02 09:10:00	MST	Yes	JWG	USGS	2.53	4.70	Poor	0.00	0.50	DebrisLight	NONE
USGS	06752280	148	1990-11-21 10:55:00	MST	Yes	JWG	USGS	2.51	3.41	Poor	0.00	0.50	DebrisModerate	NONE
USGS	06752280	149	1990-11-21 11:35:00	MST	Yes	JWG	USGS	2.51	3.53	Poor	0.00	0.50	DebrisModerate	NONE
USGS	06752280	150	1990-12-28 10:50:00	MST	Yes	JWG	USGS		3.98	Poor			IceShore	NONE
USGS	06752280	151	1991-02-28 11:15:00	MST	Yes	JWG	USGS	2.45	4.12	Poor	0.00	0.50	IceCover	NONE
USGS	06752280	152	1991-03-14 08:30:00	MST	Yes	JWG	USGS	2.46	3.67	Poor	0.00	0.60	Clear	NONE
USGS	06752280	153	1991-04-10 10:40:00	MDT	Yes	JWG	USGS	2.44	2.81	Poor	0.00	0.40	Clear	NONE
USGS	06752280	154	1991-04-30 13:20:00	MDT	Yes	JWG	USGS	2.48	2.94	Poor	0.00	0.40	DebrisHeavy	NONE
USGS	06752280	155	1991-04-30 14:35:00	MDT	Yes	JWG	USGS	2.48	2.99	Poor	0.00	0.40	DebrisHeavy	NONE
USGS	06752280	156	1991-05-14 13:35:00	MDT	Yes	JWG	USGS	2.52	4.42	Poor	0.00	0.50	VegetationLight	NONE
USGS	06752280	157	1991-06-02 17:20:00	MDT	Yes	GBO	USGS	6.72	2950	Poor			DebrisHeavy	NONE
USGS	06752280	158	1991-06-03 11:45:00	MDT	Yes	JDM	USGS	5.70	1480	Fair	-0.04	1.10	DebrisModerate	NONE
USGS	06752280	159	1991-06-20 12:00:00	MDT	Yes	RAK	USGS	3.98	487	Good	-0.02	0.50	Clear	NONE
USGS	06752280	160	1991-07-26 07:45:00	MDT	Yes	KGP	USGS	2.49	6.89	Fair	0.00	0.60	Clear	NONE
USGS	06752280	161	1991-08-28 10:30:00	MDT	Yes	JWG	USGS	2.46	4.20	Poor	0.00	0.50	Clear	NONE
USGS	06752280	162	1991-10-18 11:15:00	MDT	Yes	JDM	USGS	2.55	3.25	Poor	0.00	0.70	DebrisHeavy	NONE
USGS	06752280	163	1991-11-14 09:05:00	MST	Yes	JDM	USGS	2.54	5.79	Poor	0.00	0.80	IceShore	NONE
USGS	06752280	164	1991-12-19 08:35:00	MST	Yes	MDC	USGS	2.53	4.10	Poor	0.00	0.60		NONE
USGS	06752280	165	1992-01-22 14:30:00	MST	Yes	MDC	USGS	2.39	3.93	Poor	0.00	0.50	IceShore	NONE
USGS	06752280	166	1992-02-19 13:05:00	MST	Yes	MDC	USGS	2.51	4.02	Poor	0.02	1.00	DebrisLight	NONE
USGS	06752280	167	1992-03-26 08:55:00	MST	Yes	JDM	USGS	2.52	10.1	Poor	0.00	0.70	DebrisLight	NONE
USGS	06752280	168	1992-04-30 08:40:00	MDT	Yes	JDM	USGS	2.48	7.38	Fair	0.00	0.60	DebrisLight	NONE
USGS	06752280	169	1992-05-21 13:15:00	MDT	Yes	JDM	USGS	3.96	507	Poor	-0.01	1.10	DebrisLight	NONE
USGS	06752280	170	1992-06-25 11:50:00	MDT	Yes	JDM	USGS	4.08	744	Poor	-0.26	1.00	DebrisLight	NONE
USGS	06752280	171	1992-07-16 07:30:00	MDT	Yes	JDM	USGS	2.44	5.13	Fair	0.00	0.70	DebrisLight	NONE
USGS	06752280	172	1992-08-06 08:55:00	MDT	Yes	JDM	USGS	2.42	4.72	Fair	0.00	0.70	DebrisLight	NONE
USGS	06752280	173	1992-09-24 12:45:00	MDT	Yes	JDM	USGS	2.48	4.02	Fair	0.00	0.70	DebrisLight	NONE
USGS	06752280	174	1992-10-30 09:45:00	MST	Yes	JDM	USGS	2.58	3.90	Poor	0.00	0.70	DebrisLight	NONE
USGS	06752280	175	1992-11-19 12:45:00	MST	Yes	JDM	USGS	2.62	6.92	Poor	0.00	0.70	DebrisModerate	NONE
USGS	06752280	176	1992-12-16 08:10:00	MST	Yes	JDM	USGS	2.55	5.45	Poor	0.00	0.60	IceCover	NONE
USGS	06752280	177	1993-02-25 13:45:00	MST	Yes	JDM	USGS	2.52	7.20	Poor	0.00	0.70	IceCover	NONE
USGS	06752280	178	1993-03-18 13:15:00	MST	Yes	JDM	USGS	2.55	6.69	Poor	0.00	0.70	DebrisLight	NONE
USGS	06752280	179	1993-04-15 15:50:00	MDT	Yes	JDM	USGS	2.56	8.48	Fair	0.00	0.70	DebrisLight	NONE
USGS	06752280	180	1993-05-06 12:40:00	MDT	Yes	JDM	USGS	2.82	6.02	Poor	0.00	0.70	DebrisLight	NONE
USGS	06752280	181	1993-06-09 13:45:00	MDT	Yes	JDM	USGS	3.83	443	Poor	-0.04	0.80	DebrisModerate	NONE
USGS	06752280	182	1993-07-14 13:10:00	MDT	Yes	JDM	USGS	3.52	355	Poor	0.05	0.80	DebrisModerate	NONE
USGS	06752280	183	1993-08-11 09:50:00	MDT	Yes	JDM	USGS	2.66	36.7	Poor	0.01	0.70	DebrisLight	NONE
USGS	06752280	184	1993-09-16 11:00:00	MDT	Yes	JDM	USGS	2.47	5.82	Poor	0.00	0.90	DebrisLight	NONE
USGS	06752280	185	1993-10-28 09:10:00	MDT	Yes	JDM	USGS	3.10	6.13	Fair	0.00	0.70	DebrisLight	NONE
USGS	06752280	186	1993-11-15 13:40:00	MST	Yes	JDM	USGS	3.17	5.10	Poor	0.00	0.70	IceCover	NONE
USGS	06752280	187	1993-12-15 08:55:00	MST	Yes	JDM	USGS	3.20	5.18	Good	0.00	0.80	IceCover	NONE
USGS	06752280	188	1994-01-11 14:15:00	MST	Yes	JDM	USGS	3.17	4.74	Fair	0.00	0.70	IceShore	NONE
USGS	06752280	189	1994-02-15 13:20:00	MST	Yes	JDM	USGS	3.13	4.58	Poor	0.00	0.70	IceCover	NONE
USGS	06752280	190	1994-03-15 13:30:00	MST	Yes	JDM	USGS	3.08	5.20	Good	0.00	0.70	DebrisLight	NONE
USGS	06752280	191	1994-04-15 13:00:00	MDT	Yes	JAC/DES	USGS	3.46	3.32	Poor	0.00	0.50	DebrisLight	NONE
USGS	06752280	192	1994-04-20 08:30:00	MDT	Yes	JDM	USGS	3.47	5.08	Good	0.00	0.70	DebrisLight	NONE
USGS	06752280	193	1994-05-12 13:20:00	MDT	Yes	JDM	USGS	5.13	256	Fair	0.02	0.80	DebrisModerate	NONE
USGS	06752280	194	1994-06-15 11:45:00	MDT	Yes	JDM	USGS	3.50	5.08	Fair	0.01	0.70	DebrisLight	NONE
USGS	06752280	195	1994-07-12 13:20:00	MDT	Yes	JDM	USGS	3.52	6.08	Fair	0.00	0.90	DebrisLight	NONE
USGS	06752280	196	1994-08-17 13:00:00	MDT	Yes	JDM	USGS	3.87	30.9	Fair	-0.02	0.80	DebrisLight	NONE
USGS	06752280	197	1994-09-08 08:50:00	MDT	Yes	JDM	USGS	3.58	4.01	Good	0.00	0.80	DebrisLight	NONE
USGS	06752280	198	1994-10-19 14:35:00	MDT	Yes	JDM	USGS	3.57	4.62	Fair	0.00	0.70	DebrisLight	NONE
USGS	06752280	199	1994-11-17 08:35:00	MST	Yes	JDM	USGS	3.55	4.19	Good	0.00	0.70	DebrisLight	NONE
USGS	06752280	200	1994-12-15 09:05:00	MST	Yes	JDM	USGS	3.56	3.72	Good	0.00	0.80	IceShore	NONE
USGS	06752280	201	1995-01-12 08:35:00	MST	Yes	JDM	USGS	3.54	3.51	Fair	0.00	0.80	IceShore	NONE
USGS	06752280	202	1995-02-16 10:30:00	MST	Yes	jdm	USGS	3.52	3.52	Fair	0.00	0.70	IceCover	NONE
USGS	06752280	203	1995-03-15 13:00:00	MST	Yes	JDM	USGS	3.64	8.52	Fair	0.00	0.70	DebrisLight	NONE
USGS	06752280	204	1995-04-27 09:39:00	MDT	Yes	RJB	USGS	3.57	3.89	Poor	0.00	0.50	Clear	NONE
USGS	06752280	205	1995-05-18 09:07:00	MDT	Yes	RJB	USGS	3.77	14.3	Good	0.00	0.60	Clear	NONE
USGS	06752280	206	1995-05-31 11:02:00	MDT	Yes	rjb/dgs	USGS	9.48	2990	Fair	-0.01	1.20	Clear	NONE
USGS	06752280	207	1995-06-27 09:11:00	MDT	Yes	RJB/MSK	USGS	7.94	1610	Fair	-0.02	1.30	Clear	NONE
USGS	06752280	208	1995-07-27 11:26:00	MDT	Yes	rjb	USGS	4.68	151	Good	0.02	0.60	Clear	NONE
USGS	06752280	209	1995-08-24 10:00:00	MDT	Yes	rjb/ny	USGS	4.15	58.1	Fair	-0.02	0.60	Clear	NONE
USGS	06752280	210	1995-09-29 15:12:00	MDT	Yes	RJB	USGS	3.54	5.57	Fair	0.00	0.50	Clear	NONE
USGS	06752280	211	1995-10-26 12:55:00	MDT	Yes	RJB/MSK	USGS	3.51	3.58	Fair	0.00	0.70	DebrisHeavy	NONE
USGS	06752280	212	1995-11-30 12:34:00	MST	Yes	RJB/JRC	USGS	3.53	4.74	Fair	0.00	0.50	DebrisLight	NONE
USGS	06752280	213	1996-01-11 14:30:00	MST	Yes	RJB/MJH	USGS	3.54	4.91	Poor	0.00	0.40	Clear	NONE
USGS	06752280	214	1996-02-15 09:09:00	MST	Yes	RJB/JC	USGS	4.14	53.2	Good	0.00	0.60	IceShore	NONE
USGS	06752280	215	1996-03-28 14:28:00	MST	Yes	RJB/JSF	USGS	4.06	44.4	Good	0.00	0.60	Clear	NONE
USGS	06752280	216	1996-04-17 13:12:00	MDT	Yes	RJB/DGS	USGS	3.57	6.61	Fair	0.00	0.50	Clear	NONE
USGS	06752280	217	1996-05-22 09:03:00	MDT	Yes	RJB/MJH	USGS	4.89	202	Good	0.04	0.60	Clear	NONE
USGS	06752280	218	1996-06-04 14:28:00	MDT	Yes	RJB/MJH	USGS	6.39	737	Good	-0.02	0.90	Clear	NONE
USGS	06752280	219	1996-07-10 18:30:00	MDT	Yes	RJB/BWB	USGS	4.51	120	Good	-0.04	0.70	Clear	NONE
USGS	06752280	220	1996-08-15 08:45:00	MDT	Yes	RJB/KGP	USGS	3.75	15.6	Poor	0.00	0.50	Clear	NONE
USGS	06752280	221	1996-09-20 08:35:00	MDT	Yes	RJB/DGS	USGS	3.63	7.64	Fair	0.00	0.50	Clear	NONE
USGS	06752280	222	1996-10-17 12:42:00	MDT	Yes	RJB/DGS	USGS	3.91	24.9	Fair	0.00	0.40	DebrisModerate	NONE
USGS	06752280	223	1996-11-15 13:05:00	MST	Yes	RJB/JED	USGS	4.12	44.9	Good	0.00	0.40	DebrisModerate	NONE
USGS	06752280	224	1996-12-12 13:35:00	MST	Yes	RJB/JDM	USGS	3.92	27.2	Fair	0.00	0.40	VegetationLight	NONE
USGS	06752280	225	1997-01-22 13:50:00	MST	Yes	RJB/MJH	USGS	3.58	5.21	Fair	-0.01	0.50	IceCover	NONE
USGS	06752280	226	1997-02-20 13:25:00	MST	Yes	RJB/RMN	USGS	3.82	18.0	Fair	-0.02	0.40	Clear	NONE
USGS	06752280	227	1997-03-12 13:47:00	MST	Yes	RJB/SVM	USGS	3.70	9.69	Fair	0.00	0.60	Clear	NONE
USGS	06752280	228	1997-04-10 10:38:00	MDT	Yes	RJB/KGP	USGS	3.56	4.55	Fair	0.00	0.70	Clear	NONE
USGS	06752280	229	1997-05-14 11:44:00	MDT	Yes	RJB/BWB	USGS	4.65	124	Good	-0.13	0.60	Clear	NONE
USGS	06752280	230	1997-06-12 13:12:00	MDT	Yes	RJB/GJS	USGS	8.80	2180	Fair	-0.08	1.80	Clear	NONE
USGS	06752280	231	1997-07-22 14:01:00	MDT	Yes	RJB/MJH	USGS	4.35	80.7	Good	0.01	0.70	Clear	NONE
USGS	06752280	232	1997-08-14 14:15:00	MDT	Yes	RJB/DGS	USGS	5.79	489	Fair	-0.01	1.00	Clear	NONE
USGS	06752280	233	1997-09-03 15:30:00	MDT	Yes	RJB/KGP	USGS	4.50	116	Fair	-0.01	0.60	Clear	NONE
USGS	06752280	234	1997-10-17 11:31:00	MDT	Yes	RJB/DGS	USGS	4.70	152	Fair	-0.02	0.60	Clear	NONE
USGS	06752280	235	1997-11-13 12:49:00	MST	Yes	RJB/DGS	USGS	4.87	181	Fair	0.00	0.60	Clear	NONE
USGS	06752280	236	1997-12-11 11:29:00	MST	Yes	RJB/DGS	USGS	4.68	144	Poor	0.06	0.70	Clear	NONE
USGS	06752280	237	1998-01-22 12:05:00	MST	Yes	dgs/rjb	USGS		33.7	Fair	0.00	0.50	IceCover	NONE
USGS	06752280	238	1998-02-18 13:40:00	MST	Yes	JDM/DGS	USGS	3.90	25.2	Fair	0.00	1.00	Clear	NONE
USGS	06752280	239	1998-03-24 12:27:00	MST	Yes	DGS/RJB	USGS	4.45	103	Poor	0.01	0.60	Clear	NONE
USGS	06752280	240	1998-04-08 13:17:00	MDT	Yes	DGS/JSF	USGS	4.58	131	Fair	0.00	0.70	Clear	NONE
USGS	06752280	241	1998-05-06 13:03:00	MDT	Yes	DGS/RJB	USGS	4.96	212	Fair	-0.01	0.60	Clear	NONE
USGS	06752280	242	1998-06-15 12:28:00	MDT	Yes	DGS/RJB	USGS	5.72	500	Poor	-0.05	0.90	Clear	NONE
USGS	06752280	243	1998-07-13 12:20:00	MDT	Yes	DGS/JDM	USGS	4.60	144	Fair			Clear	NONE
USGS	06752280	244	1998-08-10 11:43:00	MDT	Yes	DGS/KGP	USGS	4.47	95.8	Fair	0.01	0.50	Clear	NONE
USGS	06752280	245	1998-09-08 14:27:00	MDT	Yes	DGS/SVM	USGS	3.60	5.77	Fair			Clear	NONE
USGS	06752280	246	1998-10-13 11:40:00	MDT	Yes	DGS/DES	USGS	3.59	5.89	Fair	0.00	0.50	Clear	NONE
USGS	06752280	247	1998-11-02 13:37:00	MST	Yes	DGS/GJS	USGS	4.15	51.5	Poor	0.02	1.40	Clear	NONE
USGS	06752280	248	1998-12-07 14:00:00	MST	Yes	DGS/SVM	USGS	3.84	16.7	Poor	-0.01	1.50	Clear	NONE
USGS	06752280	249	1999-01-11 14:30:00	MST	Yes	DGS/JDM	USGS	4.34	78.4	Fair	0.02	0.70	Clear	NONE
USGS	06752280	250	1999-02-08 10:40:00	MST	Yes	DGS/DES	USGS	4.20	48.6	Fair	0.00	0.50	Clear	NONE
USGS	06752280	251	1999-03-01 13:46:00	MST	Yes	DGS/RJB	USGS	4.26	59.1	Fair	-0.01	0.70	Clear	NONE
USGS	06752280	252	1999-04-12 13:15:00	MDT	Yes	DGS/JDM	USGS	3.68	8.95	Fair	0.00	0.60	Clear	NONE
USGS	06752280	252S	1999-05-01		Yes	GBO	USGS	11.13	7200	Poor			DebrisLight	NONE
USGS	06752280	253	1999-06-07 14:53:00	MDT	Yes	DGS/RJB	USGS	6.70	894	Poor	-0.04	1.10	Clear	NONE
USGS	06752280	254	1999-07-12 14:49:00	MDT	Yes	DGS/KGP	USGS	3.03	11.2	Fair	-0.03	1.50	Clear	NONE
USGS	06752280	255	1999-08-09 15:30:00	MDT	Yes	DGS/RMN	USGS	3.57	60.9	Fair	0.02	1.20	Clear	NONE
USGS	06752280	256	1999-09-08 16:11:00	MDT	Yes	DGS/KGP	USGS	3.43	41.3	Fair	0.02	0.40	Clear	NONE
USGS	06752280	257	1999-10-12 14:30:00	MDT	Yes	DGS/AMD	USGS	3.13	14.3	Fair	0.00	0.90	Clear	NONE
USGS	06752280	258	1999-10-13 08:35:00	MDT	Yes	DGS/AMD	USGS	3.08	10.3	Fair	0.00	0.50	Clear	NONE
USGS	06752280	259	1999-11-08 14:10:00	MST	Yes	DGS/JDM	USGS	3.73	78.3	Fair	0.00	0.90	Clear	NONE
USGS	06752280	260	1999-12-06 15:06:00	MST	Yes	DGS/SVM	USGS	3.58	47.9	Fair	0.00	0.50	Clear	NONE
USGS	06752280	261	2000-01-10 15:31:00	MST	Yes	DGS/RJB	USGS	3.61	55.6	Fair	0.02	0.90	Clear	NONE
USGS	06752280	262	2000-02-07 13:25:00	MST	Yes	DGS/KGP	USGS	3.80	73.2	Fair	-0.01	0.60	Clear	NONE
USGS	06752280	263	2000-03-06 15:00:00	MST	Yes	DGS/DES	USGS	3.04	8.56	Fair	0.00	0.40	Clear	NONE
USGS	06752280	264	2000-04-10 15:40:00	MDT	Yes	DGS/GJS	USGS	2.98	6.75	Poor	0.00	0.40	Clear	NONE
USGS	06752280	265	2000-05-08 16:30:00	MDT	Yes	DGS/RMN	USGS	5.43	502	Poor	-0.15	1.40	Clear	NONE
USGS	06752280	266	2000-06-05 13:45:00	MDT	Yes	DGS/WBH	USGS	4.02	119	Fair	-0.02	0.60	Clear	NONE
USGS	06752280	267	2000-07-10 13:45:00	MDT	Yes	DGS/WBH	USGS	3.71	62.2	Fair	-0.03	1.50	Clear	NONE
